driverId,week,hours-logged,miles-logged
38,49,72,500
102,44,63,300
105,13,74,1200
72,40,76,4000
39,5,66,3000
10,37,76,3600
37,46,75,2400
65,33,68,1100
31,38,62,3600
108,25,67,3200
22,3,56,1600
96,11,70,900
80,47,50,1100
61,40,55,100
12,40,70,0
58,5,76,3700
16,8,59,2500
36,4,67,0
31,33,67,3200
77,9,75,3600
96,47,55,3100
24,45,67,3600
59,2,62,2800
41,50,79,1800
65,44,51,200
48,40,70,3900
55,28,60,2000
45,31,51,1300
46,8,67,700
109,3,63,3600
105,19,70,100
57,15,59,3400
49,45,64,1900
27,19,60,2500
107,7,55,3600
63,51,75,2700
29,20,76,3100
25,40,74,1200
39,41,64,400
71,22,56,2700
96,18,56,3800
57,30,54,1700
81,24,50,3000
38,10,63,100
51,36,76,2900
51,15,71,1800
103,52,52,1300
36,2,57,200
55,7,71,2400
36,20,59,0
16,23,57,3100
29,30,52,1000
75,26,80,3100
21,10,68,2500
53,24,58,3600
36,31,62,100
53,14,80,2600
55,12,58,3700
40,21,61,3900
64,5,51,1100
83,14,60,3500
102,52,71,3700
79,17,68,3800
69,39,50,300
74,15,72,200
13,33,59,2100
36,28,79,2600
13,50,57,200
40,5,58,3700
10,23,50,1700
108,22,53,2100
43,6,78,4000
53,21,68,3700
42,47,67,3700
91,48,75,1900
69,37,57,3400
37,7,71,4000
28,29,51,2200
106,7,53,1900
41,23,76,3300
99,32,58,500
11,36,66,300
106,35,79,2900
12,12,72,3700
71,14,57,300
14,6,72,1600
88,44,59,1700
91,21,73,2500
62,42,70,300
31,4,54,1800
36,48,65,1900
100,35,54,2100
87,18,80,1800
88,3,64,400
12,40,66,2300
17,39,59,3300
106,18,54,800
102,49,54,100
18,28,71,3500
82,49,60,1400
85,34,68,2500
38,47,60,3400
104,36,61,3700
73,35,60,3000
33,15,80,3200
102,8,62,700
25,15,62,2600
84,13,57,700
79,32,57,1800
92,7,68,2700
20,34,60,3700
10,6,53,900
51,35,75,300
44,30,55,600
60,17,57,3300
37,41,63,2900
76,7,68,1000
23,3,54,3000
67,9,65,2800
13,16,74,1600
32,32,50,0
77,8,66,1800
43,38,65,200
101,16,59,200
57,8,70,2200
78,39,60,2500
92,44,58,300
54,51,51,900
42,44,79,200
24,28,74,4000
42,2,59,3700
76,26,57,2300
47,3,52,2000
66,9,64,3700
53,16,76,2700
78,13,60,3500
102,39,63,3600
75,37,60,1600
51,27,73,2700
23,8,66,600
95,42,77,3000
46,20,52,3900
31,37,59,1300
103,34,56,3400
14,11,55,3400
91,20,59,1400
41,27,61,2500
101,49,55,1900
11,44,59,3400
48,19,78,3700
17,9,68,2200
13,23,77,4000
20,31,73,1200
44,24,63,800
42,52,78,300
20,19,54,3900
20,42,61,600
102,20,51,3300
46,2,58,4000
99,1,76,700
56,12,58,1300
108,50,69,200
42,41,76,3200
96,17,64,3400
16,40,63,1000
101,52,70,200
95,6,65,2900
62,8,54,3000
43,25,50,3500
26,24,59,400
28,20,79,1000
99,31,76,1900
31,11,58,200
29,37,69,3900
20,36,50,200
101,29,68,4000
34,9,72,1100
97,49,72,1600
26,31,59,1900
57,42,65,200
11,20,58,3600
76,21,56,3800
91,5,79,2400
57,35,66,2500
52,23,64,800
33,52,68,3100
13,33,56,1600
10,9,68,0
102,48,50,0
63,8,73,2800
54,39,67,1500
81,29,80,0
84,33,58,2900
37,1,70,1700
27,48,66,2200
83,15,74,2700
67,18,53,1400
25,9,55,1300
107,37,63,100
85,4,57,1000
46,33,80,1000
43,6,78,2400
104,22,60,2400
30,23,80,1300
60,18,50,3400
103,43,59,3000
19,34,71,3900
46,16,79,900
24,51,57,0
28,20,60,2000
78,45,80,4000
64,9,62,3600
53,5,75,100
62,33,78,2500
58,47,72,800
47,48,66,2200
52,30,72,3400
26,8,77,300
34,6,74,1500
15,48,72,2500
35,12,57,1700
46,47,65,1100
102,2,69,1800
56,6,58,3700
12,45,73,3500
77,25,50,500
88,14,66,2600
108,24,71,300
90,2,72,1600
51,2,53,2600
33,23,65,500
94,42,63,0
74,49,76,4000
86,47,51,1000
42,47,60,1100
52,1,71,200
44,1,64,2700
52,23,56,2400
49,3,77,3300
79,19,71,2000
42,38,52,3600
89,18,53,3600
54,50,75,1200
30,34,79,3300
96,44,54,200
95,6,66,3100
56,18,59,3500
75,38,60,400
97,27,76,2400
18,3,79,1400
44,30,79,1900
76,24,61,100
30,25,68,0
36,46,67,3800
45,38,63,1000
103,38,61,2800
43,6,80,1500
55,17,60,2000
26,33,71,3000
31,8,73,1700
17,42,79,3500
67,18,54,700
53,35,78,900
93,4,74,1400
55,36,74,3600
32,27,65,3200
45,36,51,1200
52,17,61,3200
107,46,64,1500
23,20,62,3100
17,38,60,2800
99,41,57,1600
19,37,76,3600
92,41,50,3300
57,37,55,1800
93,11,63,1400
40,6,80,3300
25,30,69,3200
81,35,56,2500
29,5,50,4000
26,46,65,3100
106,24,65,2100
40,24,57,100
91,43,72,200
82,17,80,900
42,20,51,3900
46,18,75,1500
42,36,70,3900
50,30,69,3800
36,34,64,1700
90,39,77,3200
94,45,73,4000
11,26,64,2100
56,20,68,3600
38,20,72,2200
59,20,60,2600
100,19,62,2500
10,37,61,600
69,6,75,2900
84,48,67,2600
14,8,77,1900
24,21,60,500
66,33,79,2600
48,51,67,3200
